NODES: 45
ARCS: 794

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_2                                    Hub 2                          41.823184       12.630799       HUB            
H_11_origin_20                           Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_11_origin_4                            Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_11_origin_5                            Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_11_origin_7                            Policlinico Tor Vergata        41.860619       12.631796       H_ORIGIN       
H_13_origin_12                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_13_origin_2                            Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_16_origin_13                           Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_17_origin_1                            Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_18_origin_9                            Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_2_origin_17                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_3_origin_3                             Ospedale San Camillo           41.869700       12.465400       H_ORIGIN       
H_4_origin_11                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_5_origin_6                             Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_6_origin_14                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_15                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_7_origin_18                            Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_7_origin_8                             Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_8_origin_10                            Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_8_origin_19                            Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_9_origin_16                            Tiberia Hospital               41.953300       12.559100       H_ORIGIN       
H_12_dest_10                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_12                             Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_2                              Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_4                              Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_6                              Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_12_dest_8                              Policlinico Casilino           41.875800       12.575800       H_DESTINATION  
H_17_dest_19                             Ospedale San Sebastiano Frascati 41.808900       12.680600       H_DESTINATION  
H_18_dest_1                              Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_18_dest_17                             Ospedale di Marino             41.770300       12.661400       H_DESTINATION  
H_19_dest_5                              Poliambulatorio Ciampino       41.800300       12.604400       H_DESTINATION  
H_3_dest_11                              Ospedale San Camillo           41.869700       12.465400       H_DESTINATION  
H_4_dest_18                              Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_4_dest_7                               Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_DESTINATION  
H_5_dest_16                              Ospedale Sant'Andrea           41.951200       12.491800       H_DESTINATION  
H_6_dest_13                              Ospedale Pertini               41.918900       12.556100       H_DESTINATION  
H_6_dest_9                               Ospedale Pertini               41.918900       12.556100       H_DESTINATION  
H_7_dest_15                              Ospedale Sant'Eugenio          41.831700       12.490800       H_DESTINATION  
H_8_dest_14                              Istituto Regina Elena IFO      41.825600       12.425300       H_DESTINATION  
H_8_dest_20                              Istituto Regina Elena IFO      41.825600       12.425300       H_DESTINATION  
H_8_dest_3                               Istituto Regina Elena IFO      41.825600       12.425300       H_DESTINATION  
F_17                                     Facility 17                    41.828926       12.464929       FACILITY       
F_18                                     Facility 18                    41.828926       12.532713       FACILITY       
F_26                                     Facility 26                    41.879377       12.600497       FACILITY       

ARC
Ida      Idn_o                                    Idn_d                                    Avg_ttime[min.]      Label     
13       H_11_origin_4                            H_12_dest_4                              9.87                 USED      
35       H_17_origin_1                            H_18_dest_1                              9.16                 USED      
60       F_26                                     H_6_dest_9                               11.46                USED      
107      F_17                                     H_6_dest_13                              25.07                USED      
120      F_17                                     H_8_dest_20                              6.61                 USED      
144      H_13_origin_2                            H_12_dest_2                              28.22                USED      
163      F_18                                     H_18_dest_17                             25.00                USED      
167      F_18                                     H_17_dest_19                             24.91                USED      
216      H_11_origin_5                            H_19_dest_5                              14.16                USED      
227      H_4_origin_11                            H_3_dest_11                              5.14                 USED      
279      H_5_origin_6                             H_12_dest_6                              21.78                USED      
304      H_7_origin_18                            H_4_dest_18                              13.37                USED      
352      H_11_origin_7                            H_4_dest_7                               26.43                USED      
386      H_8_origin_10                            H_12_dest_10                             27.32                USED      
393      H_3_origin_3                             H_8_dest_3                               11.85                USED      
442      HUB_1                                    H_5_origin_6                             14.69                USED      
443      HUB_1                                    H_7_origin_18                            12.19                USED      
458      HUB_1                                    H_6_origin_15                            14.69                USED      
459      HUB_1                                    H_9_origin_16                            19.99                USED      
461      HUB_1                                    H_13_origin_12                           24.32                USED      
466      HUB_1                                    H_6_origin_14                            14.69                USED      
471      H_16_origin_13                           F_17                                     24.54                USED      
497      H_6_origin_15                            H_7_dest_15                              22.20                USED      
520      H_9_origin_16                            H_5_dest_16                              11.14                USED      
549      H_2_origin_17                            F_18                                     28.73                USED      
587      H_13_origin_12                           H_12_dest_12                             28.22                USED      
604      H_8_origin_19                            F_18                                     17.82                USED      
634      H_11_origin_20                           F_17                                     28.53                USED      
669      H_6_origin_14                            H_8_dest_14                              29.99                USED      
699      HUB_2                                    H_11_origin_4                            8.33                 USED      
734      HUB_2                                    H_11_origin_20                           8.33                 USED      
736      HUB_2                                    H_18_origin_9                            12.81                USED      
741      H_18_origin_9                            F_26                                     26.27                USED      
774      H_7_origin_8                             H_12_dest_8                              17.16                USED      
1        H_11_origin_4                            H_3_dest_11                              27.63                NOT USED  
2        H_11_origin_4                            H_17_origin_1                            14.06                NOT USED  
3        H_11_origin_4                            H_18_dest_1                              20.68                NOT USED  
4        H_11_origin_4                            F_26                                     6.65                 NOT USED  
5        H_11_origin_4                            F_17                                     28.53                NOT USED  
6        H_11_origin_4                            F_18                                     17.86                NOT USED  
7        H_11_origin_4                            H_11_origin_5                            0.00                 NOT USED  
8        H_11_origin_4                            H_6_dest_9                               18.03                NOT USED  
9        H_11_origin_4                            H_18_dest_17                             20.68                NOT USED  
10       H_11_origin_4                            H_4_origin_11                            26.43                NOT USED  
11       H_11_origin_4                            H_7_origin_18                            24.23                NOT USED  
12       H_11_origin_4                            H_17_dest_19                             14.06                NOT USED  
14       H_11_origin_4                            H_4_dest_18                              26.43                NOT USED  
15       H_11_origin_4                            H_11_origin_7                            0.00                 NOT USED  
16       H_11_origin_4                            H_7_dest_15                              24.23                NOT USED  
17       H_11_origin_4                            H_12_dest_8                              9.87                 NOT USED  
18       H_11_origin_4                            H_12_dest_12                             9.87                 NOT USED  
19       H_11_origin_4                            H_6_dest_13                              18.03                NOT USED  
20       H_11_origin_4                            H_12_dest_6                              9.87                 NOT USED  
