NODES: 74
ARCS: 1731

NODE
Idn                                      name                           x               y               Type           
HUB_1                                    Hub 1                          41.885827       12.479255       HUB            
HUB_3                                    Hub 3                          41.744050       12.316250       HUB            
H_10_origin_15                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_10_origin_22                           Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_10_origin_3                            Aurelia Hospital               41.888700       12.397600       H_ORIGIN       
H_13_origin_17                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_13_origin_20                           Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_13_origin_7                            Campus Bio-Medico              41.776700       12.469400       H_ORIGIN       
H_14_origin_1                            Ospedale Grassi - Ostia        41.732800       12.277800       H_ORIGIN       
H_16_origin_4                            Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_16_origin_6                            Poliambulatorio Acilia         41.755300       12.354700       H_ORIGIN       
H_17_origin_2                            Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_17_origin_30                           Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_17_origin_5                            Ospedale San Sebastiano Frascati 41.808900       12.680600       H_ORIGIN       
H_18_origin_10                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_18_origin_26                           Ospedale di Marino             41.770300       12.661400       H_ORIGIN       
H_2_origin_18                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_19                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_21                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_2_origin_28                            Policlinico Gemelli            41.931900       12.427900       H_ORIGIN       
H_4_origin_11                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_4_origin_27                            Ospedale Fatebenefratelli Isola Tiberina 41.891000       12.477500       H_ORIGIN       
H_5_origin_13                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_5_origin_14                            Ospedale Sant'Andrea           41.951200       12.491800       H_ORIGIN       
H_6_origin_16                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_23                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_29                            Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_8                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_6_origin_9                             Ospedale Pertini               41.918900       12.556100       H_ORIGIN       
H_7_origin_12                            Ospedale Sant'Eugenio          41.831700       12.490800       H_ORIGIN       
H_8_origin_24                            Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_8_origin_25                            Istituto Regina Elena IFO      41.825600       12.425300       H_ORIGIN       
H_10_dest_20                             Aurelia Hospital               41.888700       12.397600       H_DESTINATION  
H_13_dest_11                             Campus Bio-Medico              41.776700       12.469400       H_DESTINATION  
H_13_dest_16                             Campus Bio-Medico              41.776700       12.469400       H_DESTINATION  
